title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
Communication-Efficient Learning of Deep Networks from Decentralized Data,2017,AISTATS/PMLR,https://proceedings.mlr.press/v54/mcmahan17a.html,pure method,5,5,5,A,FedAvg anchor,Primary baseline
Federated Optimization in Heterogeneous Networks,2020,MLSys,https://proceedings.mlsys.org/paper_files/paper/2020/hash/1f5fe83998a09396ebe6477d9475ba0c-Abstract.html,pure method,5,5,5,A,FedProx heterogeneity baseline,Current strongest local evidence
SCAFFOLD Stochastic Controlled Averaging for Federated Learning,2020,ICML/PMLR,https://proceedings.mlr.press/v119/karimireddy20a.html,pure method,5,5,5,A,Control-variate heterogeneity baseline,Must reproduce
Adaptive Federated Optimization,2021,ICLR/OpenReview,https://openreview.net/forum?id=LkFG3lB13U5,pure method,5,5,5,A,FedAdam family,Must reproduce tuned FedAdam
Federated Learning Based on Dynamic Regularization,2021,ICLR/OpenReview,https://openreview.net/forum?id=B7v4QMR6Z9w,pure method,5,5,5,A,FedDyn heterogeneity baseline,Must reproduce
Fair Resource Allocation in Federated Learning,2020,ICLR/OpenReview,https://openreview.net/forum?id=ByexElSYDr,pure method,5,5,5,A,q-FedAvg fairness baseline,Audit secure numerator and denominator
Federated Hyperparameter Tuning,2021,ICLR/OpenReview,https://openreview.net/forum?id=p99rWde9fVJ,pure method,5,5,5,A,Dynamic hyperparameter prior,Prevents tuning-only novelty
A Multi-Agent Reinforcement Learning Approach for Efficient Client Selection in Federated Learning,2022,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/20894,pure method,4,4,4,B,Multi-agent client selection prior,Related-work constraint
Federated Learning under Distributed Concept Drift,2023,AISTATS/PMLR,https://proceedings.mlr.press/v206/jothimurugesan23a.html,pure method,5,5,4,A,Distributed drift protocol,Must align stress tests
Flash Concept Drift Adaptation in Federated Learning,2023,ICML/PMLR,https://proceedings.mlr.press/v202/panchal23a.html,pure method,5,5,5,A,Drift-aware optimizer,Must reproduce privacy-compatible form
Delta-SGD with Local Steps,2024,ICLR,https://proceedings.iclr.cc/paper_files/paper/2024/hash/d850b7e0cdc7f1c0820c6ad85405ae94-Abstract-Conference.html,pure method,5,5,5,A,Adaptive client step size,Dynamic lr prior
FedCompass Efficient Cross-Silo Federated Learning on Heterogeneous Client Devices,2024,ICLR/OpenReview,https://openreview.net/forum?id=msXxrttLOi,system/tool,4,5,5,A,Adaptive local workload,Dynamic epoch prior
Pursuing Overall Welfare in Federated Learning through Sequential Decision Making,2024,ICML/PMLR,https://proceedings.mlr.press/v235/hahn24a.html,method + theory,5,5,5,A,AAggFF fairness sequential control,Client-signal compatibility risk
Tackling Data Heterogeneity in Federated Time Series Forecasting,2024,arXiv,https://arxiv.org/abs/2411.15716,pure method,4,4,4,B/Fed-TREND risk,Time-series close method,Audit code privacy and communication
On the Power of Adaptive Weighted Aggregation in Heterogeneous Federated Learning and Beyond,2025,AISTATS/PMLR,https://proceedings.mlr.press/v258/zeng25b.html,method + theory,5,5,5,A,FedAWARE strong adaptive weighting,Client-vector compatibility risk
FedAWA Adaptive Optimization of Aggregation Weights in Federated Learning Using Client Vectors,2025,CVPR,https://openaccess.thecvf.com/content/CVPR2025/html/Shi_FedAWA_Adaptive_Optimization_of_Aggregation_Weights_in_Federated_Learning_Using_CVPR_2025_paper.html,pure method,4,5,5,A,Update-vector weighting strong baseline,Aggregate-only incompatibility risk
Benchmarking Catastrophic Forgetting Mitigation Methods in Federated Time Series Forecasting,2025,FLTA/IEEE and arXiv,https://arxiv.org/abs/2510.21491,pure benchmark,4,4,N/A benchmark,B/Risk,Same Beijing 12-client setting,Task novelty constraint
Agentic Federated Learning The Future of Distributed Training Orchestration,2026,arXiv,https://arxiv.org/abs/2604.04895,other,4,3,2,Risk,Closest agentic framing,Concept roadmap not proven algorithm
Selective Collaboration for Robust Federated Learning,2026,PMLR,https://proceedings.mlr.press/v328/tupitsa26a.html,method + theory,5,5,4,A,Dynamic beneficial collaborator weighting,Full-participation and visibility conflict
